idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
1090,label,biomechanics,cardiology,computerised tomography,decision support systems,eye,feature extraction,lung,markov processes,medical image processing,visual perception,,,,,,,,,,
1091,multipartiterank,moreno algorithm,convergence,constant parameters,bermudez,variational inequalities,choice,linear,performance,second kind,sup type,inf,explicit form,algorithm,expression,asymptotic error constant,optimal parameters,function,one,convergence theorem,constants
1091,label,convergence of numerical methods,variational techniques,,,,,,,,,,,,,,,,,,
1092,multipartiterank,security,user,electronic commerce transactions,web user,information systems development,requirements,study,wts,practice,fly identity authentication systems,strong authentication,web transaction security,ect,central issues,procedures,viz,user authentication,product,encryption,traffic
1092,label,cryptography,electronic commerce,internet,message authentication,transaction processing,,,,,,,,,,,,,,,
1093,multipartiterank,sup,fast broadcasting,time,log,algorithm,radio networks,deterministic,problem,bound,fastest,omega,lower,broadcasting,unknown topology,broadcasting algorithm,,,,,
1093,label,computational complexity,deterministic algorithms,radio networks,,,,,,,,,,,,,,,,,
1094,multipartiterank,quadratic interpolation,spheres riemannian quadratics,riemannian manifolds,sup,curves,quadratic recursive decastlejeau algorithm,interest,planning,trajectory,interpolation problems,rigid body motion,riemannian setting,sphere,projective space,riemannian quadratics,interpolation properties,ambient manifold,usual riemannian metrics,,
1094,label,approximation theory,curve fitting,interpolation,,,,,,,,,,,,,,,,,
1095,multipartiterank,health sector document management,pounds,nhs spending,wealthy,wise,healthy,service,david tyler,spending,cut costs,health sector,document management,,,,,,,,
1095,label,document image processing,health care,,,,,,,,,,,,,,,,,,
1096,multipartiterank,parabolic problem,finite time,blow,solutions,standard linear elements,nonlinear boundary condition,time,case,mass lumping,discrete approximation,space variable,paper,adaptive time step procedure,kutta methods,localization,sufficient conditions,time discretization,equivalent form,necessary,problem
1096,label,approximation theory,polynomials,runge-kutta methods,stability,,,,,,,,,,,,,,,,
1097,multipartiterank,fault diagnosis,tolerant control,linear stochastic systems,unknown inputs,robust fault detection,fault,fdi,ftc,isolation,disturbances,paper,scheme,sensors,actuators,residual sets,effect,usual,kind,works,time
1097,label,discrete time systems,fault diagnosis,fault tolerance,kalman filters,linear systems,robust control,state estimation,stochastic systems,,,,,,,,,,,,
1098,multipartiterank,user testing,performance classification,different levels,heuristic evaluation,usability problems,effectiveness,performance,different types,levels,information,errors,function,skill,rule,user performance,knowledge,paper,usability evaluation methods,human factor experts,immediate cause
1098,label,human factors,information resources,user interfaces,,,,,,,,,,,,,,,,,
1099,multipartiterank,transition stages,academic library leadership,transition cycles,chief librarian,adjustment,stabilization,analysis,author,part model,nicholson,preparation,encounter,west,stages,academic library,assessment,social impact,mezzo,micro,instrument
1099,label,academic libraries,employment,human resource management,information science,personnel,professional aspects,,,,,,,,,,,,,,
1100,multipartiterank,semantics,agent communication,article,communication language,formal framework,primitives,run,method,meaning,time,autonomous agents,agents,ability,multiple relevant dimensions,implications,utterances,end,semantic space framework,circumstances,systematic means
1100,label,formal languages,multi-agent systems,programming language semantics,,,,,,,,,,,,,,,,,
1101,multipartiterank,detailed action plans,research papers,reusable software components,planning,scs,optimization approach,organizational,program level,paucity,software engineering,model,need,attainable,significant productivity improvements,particular,implementation,surprising,successful software reuse program,optimization,great potential
1101,label,object-oriented programming,optimisation,planning,project management,software development management,software reusability,,,,,,,,,,,,,,
1102,multipartiterank,accounting software,saturation,vendors,market,resellers,software,subtleties,great,rewards,key,art,,,,,,,,,
1102,label,accounting,,,,,,,,,,,,,,,,,,,
1103,multipartiterank,rapid cauer filter design,new filter model,3d field simulator,exact,dimensional,design,coaxial cauer filter,circuit simulator,necessary,specification,field simulator,,,,,,,,,
1103,label,band-pass filters,circuit cad,circuit simulation,microwave filters,passive filters,resonator filters,,,,,,,,,,,,,,
1104,multipartiterank,functional,logic programs,transformation rules,strategies,paper,phd dissertation,contents,applications,wide class,experimental results,programs,methods,field,declarative languages,logic,typical examples,first approach,artificial intelligence,best features,thesis
1104,label,artificial intelligence,functional programming,logic programming,,,,,,,,,,,,,,,,,
1105,multipartiterank,global user profiles,user,authorities personalization,web site,user profiles,available,responsive,detailed,unique,individual needs,internet,effective way,mobile devices,computer,privacy,desktops,file,web,personalization,right
1105,label,client-server systems,data privacy,file servers,hypermedia markup languages,information needs,information resources,internet,online front-ends,,,,,,,,,,,,
1106,multipartiterank,content,document,confusion,clear,workflow,graeme muir,schlumbergersema,records management,content management,,,,,,,,,,,
1106,label,document handling,information resources,records management,,,,,,,,,,,,,,,,,
1107,multipartiterank,minimal rbf neural network,equalisation,data,nonlinear,storage,channel equalisation,performance,signals,robustness evaluation,mran,nonlinear magnetic recording channels,dependent noise,authors,distortion ratio,parameters,msdr equaliser,minimal resource allocation network,neural network,communication systems,disc storage systems
1107,label,digital magnetic recording,equalisers,magnetic disc storage,magnetic recording noise,radial basis function networks,,,,,,,,,,,,,,,
1108,multipartiterank,breast mr,spatial resolutions,high spectral,image texture,fat,hssr,water,preliminary experience,hssr data,authors,magnetic resonance,edge delineation,breasts,healthy volunteers,conventional mr images,fat suppression,suspicious lesions,women,hssr mr,data
1108,label,biomedical mri,image texture,medical image processing,,,,,,,,,,,,,,,,,
1109,multipartiterank,connection management,current web service model,web,qos service,different levels,network,requests,heavy,service,web servers,mechanism,servers,multiple priority schemes,uses,desirable,application,high,light loading conditions,level tcp connection management mechanisms,outs
1109,label,client-server systems,internet,quality of service,telecommunication network management,telecommunication traffic,transport protocols,,,,,,,,,,,,,,
1110,multipartiterank,regular boolean functions,linear time algorithm,true vector,positive,regular,monotone,boolean function,problem,variables,paper,left,nonzero component,strength,algorithm,positive function,time,set,minimal true vectors,simple linear time,recognition problem
1110,label,boolean functions,threshold logic,,,,,,,,,,,,,,,,,,
1111,multipartiterank,laguerre pseudospectral method,nonlinear partial differential equations,laguerre gauss,approximation results,radau interpolation,example,stability,bbm equation,convergence,scheme,laguerre pseudospectral scheme,high accuracy,numerical results,approach,,,,,,
1111,label,interpolation,nonlinear differential equations,polynomials,stability,,,,,,,,,,,,,,,,
1112,multipartiterank,mmas,internal discord,new approach,emas,analysis,design,micro,spheres,virtual,vr decomposition,utilisation,advantages,evolutionary model,problem,combines features,necessity,type,real world,concept,agents
1112,label,forecasting theory,multi-agent systems,optimisation,time series,virtual reality,,,,,,,,,,,,,,,
1113,multipartiterank,maple,student calculus package,maplets,plotting,everyone happy,author,developments waterloo maple class,calculus exploration,level command,revolutionary,scientists,high,educators,first,useful,upgrade,custom graphical user interfaces,radio buttons,hand,package
1113,label,software reviews,symbol manipulation,,,,,,,,,,,,,,,,,,
1114,multipartiterank,delay integro,differential equations,stability,kutta methods,runge,methods,kutta,tau,basis,constant delay,linear equation,size,step,exact solution,form,independent stability,delay,constant complex matrices,particular,stable rk method
1114,label,integro-differential equations,numerical stability,runge-kutta methods,,,,,,,,,,,,,,,,,
1115,multipartiterank,compatible vibration isolation stack,vacuum,rubber,large degree,multilayer stack,thermal drift,compatibility,metal blocks,purpose,rate,suitable,term dimensional stability,ground strain,rubber blocks,high,vibration isolation,long,gas,operating point,degrees
1115,label,actuators,gravitational wave detectors,light interferometers,mechanical stability,rubber,thermal stability,vibration isolation,,,,,,,,,,,,,
1116,multipartiterank,explicit matrix representation,nurbs curves,surfaces,cad,arbitrary degree nurbs curves,cam,formulae,paper,spline,curves,conversion,bezier curves,evaluation,knot,explicit polynomial,marsden identity,difference,useful,arbitrary degree,computation
1116,label,cad/cam,computational geometry,matrix algebra,splines (mathematics),,,,,,,,,,,,,,,,
1117,multipartiterank,fuzzy logic expert system,allocating donor,complex,renal transplantation assignment,medical,useful tool,evaluation,patients,multicriteria decision,development,problem,ethical,political issues,expert,unos,paper,vagueness,organ sharing,medical doctors,fuzzy logic expert system approach
1117,label,decision support systems,fuzzy logic,health care,kidney,medical expert systems,professional aspects,,,,,,,,,,,,,,
1118,multipartiterank,pilot situation awareness,sky displays,flight simulator,pilots,pathway,aviation highway,awareness,display,flight guidance cue,cockpit,impact,men,hits display,hits,women,ability,sky,speed,results,highway
1118,label,aircraft displays,human factors,man-machine systems,,,,,,,,,,,,,,,,,
1119,multipartiterank,predictive segmentation,technological advances,health care,technology,healthcare,market trends,part,likely,treatment machinery,powerful technological advances available today,materials,advances,glamorous,attention,scenes,phrase,operations,data mining,neural networks,sophisticated databases
1119,label,data mining,health care,,,,,,,,,,,,,,,,,,
1120,multipartiterank,effects,transition,new work organization,client,improvements,surveyors,administrative surveying work,study,team organization,teamwork profile,job,organizational factors,team,generalists,case,teamwork,competence,aim,specialist,time available
1120,label,human factors,human resource management,information technology,personnel,public administration,social aspects of automation,,,,,,,,,,,,,,
1121,multipartiterank,partial differential equations,control,time procedure,time discretization,parallel implementations,parareal,optimal control,previous note,partial differential evolution equation,problem,scheme,algebraic setting,parallel methodology,procedure,first numerical implementation,large interest,,,,
1121,label,hilbert spaces,optimal control,partial differential equations,,,,,,,,,,,,,,,,,
1122,multipartiterank,commerce,services,many different types,resources,internet,business,funds,goods,computer hardware,exchange,software products,entire infrastructure,technologies,communications formats,addition,types,paper,commerce terminology,information resources,books
1122,label,electronic commerce,information resources,internet,,,,,,,,,,,,,,,,,
1123,multipartiterank,electronic,auditing,study group,evidence,issues auditors,impact,electronic information,,,,,,,,,,,,,
1123,label,auditing,,,,,,,,,,,,,,,,,,,
1124,multipartiterank,eye,mouth fields,automatic extraction,eigenfeatures,facial features,mlp,mouth,ensemble networks,fields,novel algorithm,face image,2d gray level images,multilayer perceptron,paper,negative training samples,output,eigenvectors,binary edge data,positive,eigenvalues
1124,label,eigenvalues and eigenfunctions,face recognition,feature extraction,generalisation (artificial intelligence),learning (artificial intelligence),multilayer perceptrons,,,,,,,,,,,,,,
1125,multipartiterank,discontinuity,discrete time series data,integral calculus,outliers,differential,problem,natural evolutions,crucial role,lin,integration,explosive growth,approach,appearances,idea,general,study,existence,hope,time series,decline
1125,label,calculus,time series,,,,,,,,,,,,,,,,,,
1126,multipartiterank,health care,workflow software,right communication solution,better,hospital specialists,positive productivity,unexpected financial boost,,,,,,,,,,,,,
1126,label,health care,invoicing,workflow management software,,,,,,,,,,,,,,,,,
1127,multipartiterank,patient,mobile neurosurgeon neurosurgical teams,transfer,clinical status,unit,decision,operations,care,surgeons,anaesthetic nurses,pathology,telemedicine,type,month,cervical dislocation,nearest neurosurgical department,health,prognosis,orthopaedic,possible
1127,label,bone,diagnostic radiography,neurophysiology,orthopaedics,radiology,surgery,telemedicine,,,,,,,,,,,,,
1128,multipartiterank,general constitutive description,fibrous laminates,inelastic,failure behavior,laminated composites,previous part lamina theory,strength behavior,layer analysis,applications,various fiber preforms,load,fabric,matrix materials,constituent fiber,papers,laminate theory,laminae,laminate,constitutive description,ibid
1128,label,bending,bending strength,fatigue,fibre reinforced composites,finite element analysis,internal stresses,laminates,mechanical engineering computing,stress analysis,stress-strain relations,thermomechanical treatment,,,,,,,,,
1129,multipartiterank,theta functions,harmonic coefficients,specializations,number fields,quadratic forms,differential operator,functional equation,modular transformations,symplectic theta functions,,,,,,,,,,,
1129,label,differentiation,matrix algebra,number theory,,,,,,,,,,,,,,,,,
1130,multipartiterank,anonymity,protocol,hordes,multicast,personal privacy,mechanisms similar,previous protocols,data,initiator anonymity,widespread acceptance,communication,public medium,users,information retrieval,internet,concern,technical solution,first quantitative definition,unlinkability,security
1130,label,data privacy,internet,multicast communication,protocols,telecommunication network routing,,,,,,,,,,,,,,,
1131,multipartiterank,information fluency,learning,basic computer literacy,web,education,course,technology,liberal arts college,framework,efforts,critical thinking skills,information literacy,successful,librarians,likely,perspective learning,computer,process,rollins college,transformation
1131,label,computer literacy,educational computing,information resources,information science,internet,,,,,,,,,,,,,,,
1132,multipartiterank,appropriate method,mcms,multiple comparison methods,population means,sample data,correct way,mathematica programs,pairs,statistical software packages,differences,users,subsets,available,population,results,paper,simulated,class,real data,best method
1132,label,marketing,sales management,sampling methods,,,,,,,,,,,,,,,,,
1133,multipartiterank,optimal strategies,conditions,general assumptions,system functioning,inventory,existence,threshold,additional assumptions,optimal nonrandomized markovian strategy,frame,,,,,,,,,,
1133,label,markov processes,probability,stock control,,,,,,,,,,,,,,,,,
1134,multipartiterank,capabilities,organizational design,resources,firm,rent,environment,organization,ability,computational model,information transfer,possibility,integration,forms,new resources,paper,acquisition,desire,new capabilities,value,need
1134,label,commerce,economic cybernetics,investment,probability,,,,,,,,,,,,,,,,
1135,multipartiterank,middleware,eai systems,server computing,workflow products,client,movement,explosion,application servers,myriad,functionality,middleware systems,world,potpourri,systems,considerable consolidation,data systems,etl systems,points,ways,article
1135,label,application program interfaces,client-server systems,distributed databases,distributed object management,workflow management software,,,,,,,,,,,,,,,
1136,multipartiterank,modifier formula,mean square convergence,lms algorithm,large,size,step,independence assumption,explicit errors,convergence,update formula,simulations,different conditions,formula,,,,,,,
1136,label,adaptive filters,convergence of numerical methods,filtering theory,least mean squares methods,mean square error methods,signal processing,,,,,,,,,,,,,,
1137,multipartiterank,markov systems,fuzzy logic,transition probabilities,theory,asymptotic behaviour,closed analytic form,estimation,introduction,measurement errors,data,powerful tool,input probabilities,lack,uncertainty,advantage,fuzzy markov system,symbolic knowledge,importance,realistic assumptions,result
1137,label,fuzzy logic,fuzzy systems,inference mechanisms,markov processes,probability,uncertainty handling,,,,,,,,,,,,,,
1138,multipartiterank,decentralized adaptive output feedback stabilization,systems,class,uncertainties,unknown bound,problem,linear time,stable,adaptive decentralized stabilization,loop systems,large,nonlinear interconnectivity,scheme,scale systems,bounds,closed,unknown,theory,control scheme,effective
1138,label,adaptive systems,closed loop systems,interconnected systems,large-scale systems,state feedback,uncertain systems,,,,,,,,,,,,,,
1139,multipartiterank,exponentiation algorithms,solutions,smart cards,major security concern,rsa cryptosystem implementation stage,efficiency,channel attacks,resistance,side,first time,overall complexity,rsa exponentiation,time,exponentiation,,,,,,
1139,label,computational complexity,public key cryptography,smart cards,,,,,,,,,,,,,,,,,
1140,multipartiterank,cherylann silberer,process,accounting technologist,company,complete,silberer,specialty,workflow process analysis,,,,,,,,,,,,
1140,label,accounting,workflow management software,,,,,,,,,,,,,,,,,,
1141,multipartiterank,functional tools,object,powerful type system,programming,tasks fc,library,implementations,manipulation,several common design patterns,adapter,builder,polymorphic functions,safe,parametric polymorphism,thanks,command,fewer classes,dependencies,simpler,arguments
1141,label,c++ language,functional programming,object-oriented programming,software libraries,,,,,,,,,,,,,,,,
1142,multipartiterank,phase shunt active power filter,instantaneous harmonic current components,harmonic detection,nonlinear current loads,single,compensation,advanced active power filter,signal processing technique,adaptive neural network algorithm,detection,real time,harmonic components,validity,active filtering processing system,instantaneous harmonic components,current harmonics,simulation results,,,
1142,label,active filters,compensation,control system analysis,control system synthesis,harmonic distortion,load (electric),neurocontrollers,power harmonic filters,power system control,power system harmonics,,,,,,,,,,
1143,multipartiterank,vmebus interface,muse,control system muse,multiplicity selector,functional module,design,initialization,trigger,paper,particle detector,chimera,control system,vmebus,application,,,,,,
1143,label,computerised control,high energy physics instrumentation computing,system buses,,,,,,,,,,,,,,,,,
1144,multipartiterank,implicit equation,bezier curves,inflection points,cusps,dual curve,tangential equation,parametrization,roots,parameter values,novel way,theory,polar reciprocation,envelopes,equations,duality,,,,,
1144,label,computational geometry,,,,,,,,,,,,,,,,,,,
1145,multipartiterank,existence theorems,variational calculus,conditions,nonconvex problems,integrant convexity,solution,variational calculus problem,example,function,theorem,convex,,,,,,,,,
1145,label,convex programming,variational techniques,,,,,,,,,,,,,,,,,,
1146,multipartiterank,research,telehealth,speech,language pathology,studies,outcomes,cost,telehealth applications,benefit information,patient outcomes,effectiveness,total,informational aspects,absence,educational,relation,failure,lack,shortcomings,domain
1146,label,cost-benefit analysis,medical computing,reviews,speech,telemedicine,,,,,,,,,,,,,,,
1147,multipartiterank,computer science advisors,students,objective,study,sophomore years,senior years,baylor,humane tool,junior,data,freshman,parents,seniors,baylor university,substantial difficulty,computer science,grades,institution,research,computer science department faculty
1147,label,computer science education,statistical analysis,teaching,,,,,,,,,,,,,,,,,
1148,multipartiterank,zeros,asymptotic expansions,certain special functions,cosine,kelvin functions,integral ci,numerical evidence,available formulae,accuracy,sub,expansions,,,,,,,,,
1148,label,function approximation,poles and zeros,,,,,,,,,,,,,,,,,,
1149,multipartiterank,portfolios,securities,switching,optimal time,profit maximization,several portfolios,purpose,methods,determination,cases,detail,,,,,,,,,
1149,label,commodity trading,,,,,,,,,,,,,,,,,,,
1150,multipartiterank,matrix approximation,operator exponential,data,sparse,linear complexity,applications,matrices,case,resolvents,computation,accurate approximation,linear,logarithmic cost,exponent,matrix,vector,particular,solution operators,class,general elliptic part
1150,label,approximation theory,computational complexity,differential equations,matrix algebra,,,,,,,,,,,,,,,,
1151,multipartiterank,vector cascade algorithm,function,focus,accuracy,relationship,paper,regularity,note,isotropic dilation converges,strang,vector,multivariate refinable vector,fix conditions,initial function,,,,,,
1151,label,matrix algebra,polynomials,wavelet transforms,,,,,,,,,,,,,,,,,
1152,multipartiterank,nonlinear dividend barrier,risk theory,surplus process,framework,derive equations,presence,probability,dividend payments,number,survival,characteristics,theoretic solution techniques,sum,process,classical risk theory,numerical illustrations,quantities,exponential claim sizes,parabolic dividend barrier,
1152,label,mean square error methods,monte carlo methods,probability,risk management,simulation,stochastic processes,,,,,,,,,,,,,,
1153,multipartiterank,spatial pythagorean hodographs,arbitrary spatial rotations,structural invariance,canonical form,ph space curves,dietz et al,spatial rotations,pythagorean hodographs,essential,incorporation,polynomial characterization,computer,quaternion representation,design,preservation,manufacturing applications,free,factored,upsilon,dimensional pythagorean hodographs
1153,label,cad/cam,computational geometry,computerised numerical control,interpolation,machining,,,,,,,,,,,,,,,
1154,multipartiterank,pitch extraction,fuzzy weighted autocorrelation function,noisy speech,investigation,use,autocorrelation function,simulation results,calculation,fuzzy weighting scheme,better robustness,feasibility,method,background noise,conventional approaches,pitch period,noisy environment,,,,
1154,label,awgn,correlation methods,fuzzy systems,speech processing,,,,,,,,,,,,,,,,
1155,multipartiterank,b2b engines,b2b integration,standards,b2b events,functionality,potential trading partner,role,semantic b2b integration,placement,enterprises,internal source,purchase orders,b2b protocol,electronic data interchange,destination,company,paper,systems,edi,detailed discussion
1155,label,business communication,electronic commerce,electronic data interchange,internet,protocols,,,,,,,,,,,,,,,
1156,multipartiterank,fibrous laminates,failure behavior,inelastic,general constitutive description,plane load,laminate,ultimate failure,lamina,additional critical deflection,stress failure criterion,efficient constitutive relationship,last,thermomechanical response,sufficient,papers,laminated composites,applications,failure,structural design,ply failure
1156,label,elastoplasticity,fibre reinforced composites,internal stresses,laminates,mechanical engineering computing,micromechanics,viscoplasticity,,,,,,,,,,,,,
1157,multipartiterank,finite element discretisations,mixed problems,nonconforming type,basic new feature,approach,nonconforming,general framework,lower order,convergence,different finite element discretisations,level,design,higher order finite element discretisations,,,,,,,
1157,label,differential equations,finite element analysis,,,,,,,,,,,,,,,,,,
1158,multipartiterank,books,midlife career management midcareer librarians,professional self,career change,various aspects,circus,thousands,bookshelf,evaluation,choices,particular goals,popular career self,personal,issues,comments,article,interest,suited,career management,information
1158,label,employment,human resource management,information science,libraries,personnel,professional aspects,,,,,,,,,,,,,,
1159,multipartiterank,technology,issues,internet,online drumbeat,threats,opportunities,information,business strategies,current,endless conversation,way,topics,millions,multitude,tech trends,voices,great deal,top,ongoing basis,surprising
1159,label,accounting,information resources,,,,,,,,,,,,,,,,,,
1160,multipartiterank,effective,case studies,videoconferencing,potential,friendly,cost,user,time,life,number,ages,professional development,people,abilities,distance,international experts,variety,forms,imaginative approach,extracts
1160,label,education,teleconferencing,,,,,,,,,,,,,,,,,,
1161,multipartiterank,muscadet theorem prover,examples,casc,jc muscadet,system competitions,weak points,knowledge,regard,cade automated theorem,complementarity,results,resolution,strong,natural deduction,theorem prover,provers,paper,muscadet,last competition,crucial methods
1161,label,formal logic,inference mechanisms,knowledge based systems,theorem proving,,,,,,,,,,,,,,,,
1162,multipartiterank,work method,people,practices,work systems design work systems,activities,time,work system,collocation,tools,organizational roles,use,distribution,technology,documents,integration,machines,goods,scientific data,services,procedures
1162,label,digital simulation,user centred design,,,,,,,,,,,,,,,,,,
1163,multipartiterank,certain amount,scientific computing,uk research assessment exercise,brand new centre,warwick,outstanding standards,impressive performance,sciences,rae,csc,muscle,years,couple,result,country,research,older institutions,things,fifth,middle
1163,label,natural sciences computing,,,,,,,,,,,,,,,,,,,
1164,multipartiterank,software technology,legal business,experience,years,asset,accounting market,quality accountants software technology,,,,,,,,,,,,,
1164,label,accounting,,,,,,,,,,,,,,,,,,,
1165,multipartiterank,control,horizon,flying wing,lpv approach,forward flight models,thrust,experimental,horizon methods,paper,clf,application,hover,terminal cost,wing,caltech,system,dynamics,representative,stability,numerical simulations
1165,label,aircraft control,control system synthesis,lyapunov methods,nonlinear control systems,optimal control,,,,,,,,,,,,,,,
1166,multipartiterank,devs,simulation,geometric,formalism,continuous state dynamics,model,dynamic systems,discrete,particular hierarchical structure,discrete event system specification,kinematic structure,continuous state set,able,system,continuous simulation methodology,devs formalism,simulation requirements,dynamic behavior,paper,atomic
1166,label,computerised numerical control,discrete event simulation,flexible manufacturing systems,object-oriented programming,,,,,,,,,,,,,,,,
1167,multipartiterank,sub,mdr,endpoints continuity,approximate method,bezier curves,method,degree,constraints,paper,norm,sub infinity,respect,endpoint interpolation,best least squares approximation,orders,good properties,comparison,n-1,continuity,problem
1167,label,cad/cam,computational geometry,engineering graphics,interpolation,least squares approximations,,,,,,,,,,,,,,,
1168,multipartiterank,chaos theory,information systems,paper,complex quantitative,patterns,means,new techniques,qualitative evidence,framework,variety,nature,contexts,chaos theory concepts,substantive approach,way,illustrative research design,,,,
1168,label,chaos,information systems,pattern recognition,,,,,,,,,,,,,,,,,
1169,multipartiterank,news online,author,vast oceans,new available materials,many,alerts,large number,small stories,free,sources,one,different focus,topics,excellent news monitoring system,tool,news resource available,news,little cost,,
1169,label,information resources,publishing,,,,,,,,,,,,,,,,,,
1170,multipartiterank,natural language,artificial life,linguistics,article,language,particular,study,syntactic aspects,lexico,fertile ground,artificial life modeling,survey,models,learning,complex adaptive systems,last decade,explanatory theory,culture,half,biological evolution
1170,label,artificial life,computational linguistics,natural languages,,,,,,,,,,,,,,,,,
1171,multipartiterank,trajectories,robustness,linear system,finite time extent,problem,perturbation bounds,uncertainty,terms,integral quadratic constraints,finite trajectories,nonconvex quadratic optimization problem,solution,result,lagrange relaxation,robustness analysis,hybrid systems,dynamical systems,,,
1171,label,invariance,linear systems,optimal control,optimisation,robust control,uncertain systems,,,,,,,,,,,,,,
1172,multipartiterank,staffing levels,call centre staffing levels,accurate arrival rate information,usual method,problem,police communication centre,auckland,new zealand,priority customers,choice,setting,call centre,particular time period,considerable errors,historical data,performance estimates,issues,arrival rate,monday,cases
1172,label,call centres,exponential distribution,human resource management,operations research,police,queueing theory,stochastic processes,,,,,,,,,,,,,
1173,multipartiterank,location system,transmission line fault,wavelet transform,ground faults,fast processors,location,paper,line,possibility,system,surge,authors,method practicable,power transmission line,fault,location chips,order,parallel,data,pci bus
1173,label,fault location,graphical user interfaces,power system analysis computing,power transmission faults,power transmission lines,transmission line theory,transmission network calculations,wavelet transforms,,,,,,,,,,,,
1174,multipartiterank,diagnostic aids,users,concurrence strategies,diagnosis,study,aids,disagreement rates,less,strategy,reliable,correct diagnoses,accurate,several trials,rate,probability,unwarranted levels,disuse,operators,present study,tendencies
1174,label,automatic test equipment,human factors,large-scale systems,probability,reliability,,,,,,,,,,,,,,,
1175,multipartiterank,thermoacoustic tomography,microwave,biological tissue samples,spherical configuration,spherical geometry reconstruction,domain reconstruction,thermoacoustic waves,time,microwave pulses,wide,band unfocused ultrasonic transducer,sufficient data,sample,spherical surface,experiments,backprojection algorithm,different directions,spatial resolution,exact reconstruction solution,microwave absorption distribution
1175,label,backpropagation,image reconstruction,medical image processing,microwave imaging,thermoacoustics,,,,,,,,,,,,,,,
1176,multipartiterank,time logics,axioms,open,general,important axiomatization questions,prohibition,difficulties,historical necessity,peirce,truth values,time,expressive logical account,new,ideas,main open problems,contingent future,,,,
1176,label,decidability,temporal logic,,,,,,,,,,,,,,,,,,
1177,multipartiterank,knowledge structures,induction techniques,comprehensibility aspects,experimental evaluation,comprehensive,order,knowledge bases,model,human learning,challenging research issue,developers,case study,decision support systems,predictive systems,decision making,basis,domain experts,useful insights,extent,article
1177,label,decision support systems,diagnostic expert systems,diagnostic reasoning,fault diagnosis,industrial plants,knowledge representation,learning by example,,,,,,,,,,,,,
1178,multipartiterank,time granularity,kamp,theorem,generalization,functional completeness,order theory,first,operators suitable,respect,expressive temporal operators,properties,extension,modal language capable,linear orders mfo,paper,omega,theorem relative,extra binary relational symbol,search,result
1178,label,decidability,temporal logic,,,,,,,,,,,,,,,,,,
1179,multipartiterank,states,formation,hidden markov chains procedures,formant amplitudes,frequencies,hidden markov models,conditional probabilities,parameters,generation,training strategy,state features,help,layer model,formant set,maximum likelihood method,,,,,
1179,label,hidden markov models,maximum likelihood estimation,speech recognition,,,,,,,,,,,,,,,,,
1180,multipartiterank,loop model,validation,sufficient condition,stochastic framework deals,model,necessary,condition,probabilistic model,sup,complex vector,closed loop,plant,unstructured uncertainties,identification experiments,mimo,dynamics,loop frequency domain experimental data,consistency,fded,controller
1180,label,closed loop systems,identification,mimo systems,probability,robust control,stochastic processes,uncertain systems,vectors,,,,,,,,,,,,
1181,multipartiterank,office furniture,spatial solutions,stress,design,staff needs,office,furniture,major buying decisions,,,,,,,,,,,,
1181,label,furniture,,,,,,,,,,,,,,,,,,,
1182,multipartiterank,linguistic knowledge,development,new technologies,specific areas knowledge,modern language studies,forms,ways,variety,methods,internal differentiation,formation,classification,problem,speechology,example,connection,necessary,field,science,fundamental
1182,label,linguistics,speech recognition,,,,,,,,,,,,,,,,,,
1183,multipartiterank,new adaptive algorithm,novel system,blind identification,equations,time,good behaviour,algorithm,use,fourth,order statistics,arbitrary noisy environments,third,overdetermined recursive instrumental variable,output signals,overdetermined system,important property,good performance,type algorithm,symmetries,systems
1183,label,adaptive estimation,adaptive signal processing,blind equalisers,gaussian noise,higher order statistics,moving average processes,parameter estimation,time-varying channels,,,,,,,,,,,,
1184,multipartiterank,abr,modeling,abr flow control protocol,high resource efficiency,atm,hop,minimum cell loss,service,availability bit rate,consolidation algorithms,asynchronous transfer mode,periodic explicit rate feedback,interval,resource management cell synchronization,networks,maximum throughput,scheme,link bandwidth,precise allocation,space
1184,label,asynchronous transfer mode,bandwidth allocation,digital simulation,feedback,protocols,synchronisation,telecommunication computing,telecommunication congestion control,telecommunication signalling,telecommunication traffic,,,,,,,,,,
1185,multipartiterank,adaptive multiresolution approach,solution,hyperbolic pdes,numerical approach,paper,resolution methods,innovative,stability,accuracy,high,efficient multiresolution adaptive approach,system,partial differential equations,single,numerical solution,properties,numerical results,strong gradients,regions,test problems
1185,label,hyperbolic equations,numerical stability,partial differential equations,,,,,,,,,,,,,,,,,
1186,multipartiterank,regional flux target,gradient controllability problem,minimum energy,case,extension,numerical algorithm,approach,target subregion,part,boundary,parabolic system domain,properties,definition,regional boundary gradient target,computation,optimal control,characterisation,focus,control,numerical illustrations
1186,label,controllability,distributed parameter systems,gradient methods,minimisation,numerical analysis,optimal control,,,,,,,,,,,,,,
1187,multipartiterank,trade,impact,offs,decisions,users,end,minds technical specialists,important,requirements,meeting,team members,rationale,role,stakeholders,,,,,,
1187,label,dp management,professional communication,project management,,,,,,,,,,,,,,,,,
1188,multipartiterank,male,computer industry,computer gaming culture,careers,female employees,females,computer game,conspicuous gender gap,question,number,evident,effect,college level,matters,degree,dominant,spatial learning,distinct disadvantage,computer science,engagement
